id,nickname
12317,valeria_oyaga
12957,claparols-carrera
11816,sbarbens
13020,anna_avila
13028,poropo
409,pepe_c
12249,jose2715
13084,cbl
10205,
13138,eva_jou
13161,cistus
13147,cecili
13184,david_sancho
13169,antonio_u
13186,cari_almazan
6646,davidferngut
13209,vsalaf
12600,volta_arquitectes
10949,associacio_cultura_2
13217,antonio_da_ferreira
13223,eduraval
13220,j_l_peralta
1644,mike
13231,luis_ros_cortes
13230,carlesglue
13233,mnpastor
13247,vqleriabcn
9265,suport_decidim_actes
13261,elisendafs
13268,annar
31377,procomuns_net
12831,arnaum
13466,soleguer
13471,alicia_teba
13483,mbhorta
13510,lukas0001
13384,natalia_vazquez_rehb
13641,georgina_2_3
13660,jordillonch
13686,ytsejam22
13700,xesca
11409,coordinadora_d_ampas
6589,associacio_de_festes
13768,nuria_oriol
13748,natividad_ramos
13794,lena_vela
9343,
5423,secundaria_a_la_munt
13859,alba_oriol_mumbru
11591,consellbarrilabordet
8289,markdd
13924,jordi_anguera
13914,sandra_rodriguez_cas
2400,espaigosbcn
2065,sarria-sant_gervasi
13835,albert_c
12610,javier_fraga
13994,oriol_timoneda
7332,martina_rey_janez
11550,claira
14094,aliena
14102,quimrc
14106,anonim_2_3_4_5_6_155
14104,bcnferrer
13067,carmenbcn
14120,darth_vader
1157,rosa_esc
14140,plataforma_veinal
14174,atzboy
14171,marc_juvinya
14190,marcella
14240,antonio_sal_sal
8427,gustavo_martin
14271,jose_luis_lalueza
10548,paco_gil
14290,ferranp
11090,alba_fernandez
1902,mariano_v
10493,urkiux
6860,cris_espa
14400,oriol_sa
195,rgbardon
11071,pere_sabate
14414,marina_rius
4389,adrillen
14418,FartIam
11596,consellbarrilamarina
14440,souris
6546,montse_ferrer_norber
4235,patri_gimenez
13297,enrikson
13136,jesus_garcia
14495,roser_minguez_alcone
14494,trespunts
14490,maria_lp
14496,lily_2
11354,maite_romeu
14513,recull_navas
14526,jose_gallardo
8571,gabriel
1055,pepa_olvera
10350,domingo_morales
13925,montse_blasco
10421,jonathan_ballester
8674,alejandromc
14557,gregori
6373,puri_cea_estrada
14647,inmaviuasants
14650,pepbarna
31283,suport_decidim_habit
14644,tribes
14669,davidgibert
14676,josep_anton_i_riera
31392,fapac
14708,sergi_cadena
14714,vicent_r
11659,consellbarripoblesec
14724,ckamy
12008,francisco_2
14777,jordi_capilla
8331,neus_fornells_cunill
9266,suport_decidim_joven
31386,trama_serveis_cultur
14875,consellsectorialgent
14907,anonim_2_3_4_5_6_166
14906,maria_s_de_costa
9821,marina_puig_2
14920,pere_bayona
31404,plataforma_riera_de_
13131,albert_vilanova
14854,associacio_de_come_2
14985,victor_dieste
15026,cordill
15033,joaquim_m_cervera_i_
15038,consell_barri_hostaf
12009,associacio_catalan_2
15119,lalia
15153,xavier_sisternas
15091,smoutrille
15202,david_franquelo
9396,marioezq
14546,angel_guardia
15092,ciudadanocurioso
15296,josep_guzman
15302,francisco_miguel
15331,peregir
15364,tcm
15381,user15381
15268,merce_vila
15385,rbg1981
15389,user15389
